Food_Code;Display_Name;Portion_Default;Portion_Amount;Portion_Display_Name;Factor;Increment;Multiplier;Grains;Whole_Grains;Vegetables;Orange_Vegetables;Darkgreen_Vegetables;Starchy_Vegetables;Other_Vegetables;Fruits;Milk;Meats;Soy;Drybeans_Peas;Oils;Solid_Fats;Added_Sugars;Alcohol;Calories;Saturated_Fats
11432000;Fruit yogurt, low fat;2;100.000;ounce;.16670;100.000;100.000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00963;.11560;.00000;.00000;.00000;.00000;250.665;1.554.749;.00000;2.890.000;.19833
11433500;Fruit yogurt, fat-free sugar-free;2;100.000;ounce;.16670;100.000;100.000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.03202;.11758;.00000;.00000;.00000;.00000;.12750;.00000;.00000;1.445.000;.02550
42110000;Mixed nuts;2;100.000;ounce;.20000;.25000;.25000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;200.362;.00000;.00000;232.375;346.338;.00000;.00000;17.500.000;249.636
43103000;Sesame seeds;2;100.000;Tablespoon;.06250;.50000;.50000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.66141;.00000;.00000;.61346;.00000;.00000;.00000;5.300.000;.63000
43104000;Flax seed;2;100.000;Tablespoon;.06250;.50000;.50000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.63936;.00000;.00000;.31107;.00000;.00000;.00000;4.500.000;.29000
54338000;Wheat cracker;2;400.000;Wheatsworth crackers;400.000;200.000;.50000;.51600;.29600;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;2.120.400;582.400;.00000;5.600.000;.62000
54338000;Wheat cracker;2;400.000;Whole Wheat Club Crackers;400.000;200.000;.50000;.60000;.34800;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;2.473.200;684.800;.00000;6.800.000;.72400
54338000;Wheat cracker;2;.25000;cup;.25000;.25000;100.000;.48400;.27800;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;1.987.700;548.800;.00000;5.325.000;.58300
56207110;Bulgur, no fat added;1;.50000;cup, cooked;.50000;.25000;.50000;100.000;100.000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;5.600.000;.02800
56207150;Couscous, no fat added;1;.50000;cup, cooked;.50000;.25000;.50000;100.000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;8.700.000;.02300
62125100;Raisins;2;100.000;Tablespoon;.06250;.50000;.50000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.12497;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;2.700.000;.00544
72116000;Romaine lettuce;2;100.000;medium leaf;100.000;100.000;100.000;.00000;.00000;.16300;.00000;.16300;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;200.000;.00700
82101000;Vegetable oil (canola, corn, olive, etc);2;100.000;Teaspoon;.33300;.50000;.50000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;100.741;.00000;.00000;.00000;4.000.000;.56893
12210410;Coffee Mate Lite  (powder);1;100.000;packet;100.000;100.000;100.000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;423.900;852.994;.00000;1.293.000;.11400
12220200;Cool Whip;1;.25000;cup;.25000;.25000;100.000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00104;4.264.312;1.674.060;.00000;5.962.500;408.375
12220250;Lowfat Cool Whip;1;.25000;cup;.25000;.25000;100.000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;245.625;.90281;.00000;4.125.000;211.313
12310100;Sour cream;1;200.000;Tablespoons;.12500;100.000;.50000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;5.423.400;.00000;.00000;6.152.500;375.188
14107030;Mozzarella cheese (part skim);2;.25000;cup shredded;.25000;.25000;100.000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.66444;.00000;.00000;.00000;.00000;4.973.130;.00000;.00000;8.531.500;357.928
14107030;Mozzarella cheese (part skim);2;100.000;cubic inch;100.000;.50000;.50000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.41395;.00000;.00000;.00000;.00000;3.098.304;.00000;.00000;5.315.200;222.992
14107030;Mozzarella cheese (part skim);2;100.000;string cheese stick;100.000;.50000;.50000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.65856;.00000;.00000;.00000;.00000;4.929.120;.00000;.00000;8.456.000;354.760
14108010;Parmesan or Romano cheese;1;100.000;tablespoon;100.000;.50000;.50000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.17635;.00000;.00000;.00000;.00000;1.255.725;.00000;.00000;2.155.000;.86500
14109030;Low fat cheddar or Swiss;1;100.000;slice (slice = 1 oz);100.000;.50000;.50000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.00000;.99990;.00000;.00000;.00000;.00000;1.121.384;.00000;.00000;5.000.000;.92500
